name,address,rating,user_ratings_total,place_id,types,taluka,latitude,longitude,,
Anjuna sand Beach,"4241a, Calangute - Arpora Rd, Agar Vaddo, Prabhu wada, Calangute, Anjuna, Goa 403509, India",4.4,236,ChIJM8kiU6rrvzsRBj870doD4-E,"point_of_interest, establishment,beach,nature,nightlife",Pernem,15.5724968,73.7413421,,
Rock Forest Goa,"H. No, 1/57 B, Gaura waddo, behind Gomes Racing Track, near Peoples High School, Calangute, Goa 403511, India",4.7,183,ChIJ_ZUI4OnBvzsRncEH71J_jeQ,"tourist_attraction, lodging, point_of_interest, establishment",Bardez (Mapusa),15.5304007,73.7713409,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Baga kayaking - Vhoddekar,"Calangute - Baga Rd, Saunta Vaddo, Calangute, Goa 403516, India",4.9,1478,ChIJUZcw0bXrvzsR7SWTFIrxfkA,"tourist_attraction, travel_agency, point_of_interest, store, establishment,adventure",Bardez (Mapusa),15.5557145,73.7638814,,
Exploring Goa,"Oppostite Tarcar Ice Factory, Gauravaddo, Calangute, Goa 403515, India",4.9,53,ChIJc8WaOwnBvzsRIBBWuYSY5fw,"tourist_attraction, travel_agency, lodging, point_of_interest, establishment",Bardez (Mapusa),15.5320191,73.7624252,,
Casino Pride,"Captain Of Ports Jetty, Casino Pride, Panaji, Goa 403001, India",4.1,17952,ChIJAQAAAJTAvzsRP4-RtdRQHng,"casino, tourist_attraction, night_club, bar, point_of_interest, establishment",Tiswadi (Panaji),15.5014739,73.8278952,,
Cavelossim Beach,"5WCR+QPX, Cavelossim Rd, Cavelossim, Goa 403731, India",4.6,949,ChIJLYXba5JNvjsR3qfx825JZX8,"point_of_interest, establishment,beach",Salcete (Margao),15.1719963,73.9418611,,
Anjuna Flea Market,"HPGR+FM4, Monteiro Vaddo, Anjuna, Goa 403509, India",4,1931,ChIJFY-F1BLpvzsRyVdPrarA5bs,"point_of_interest, establishment,market,shopping",Pernem,15.5720689,73.7419735,,
Hill Top Goa,"Hilltop, Ozran Beach Rd, near St. Michael's School, Vagator, Goa 403509, India",4.5,6599,ChIJDz2o1n7pvzsRlVYVpfwcGg0,"point_of_interest, establishment,nightlife",Bardez (Mapusa),15.5931968,73.7423909,,
,,,,,,,,,,
