name,address,rating,user_ratings_total,place_id,types,taluka,latitude,longitude,Unnamed: 9,Unnamed: 10,categories,cluster,day,normalized_google_rating,weighted_rating,quantity_factor,popularity_score,cluster_max_popularity,normalized_popularity
Dolphin Adventures Goa (Sinquerim Jetty),"Fort aguada road sinquerim jetty candolim, Panaji, Goa 403515, India",4.1,671.0,ChIJIz69SNrBvzsRE5i32ju2Ays,"travel_agency, point_of_interest, establishment,adventure",Tiswadi (Panaji),15.4972169,73.7818865,,,"['adventure', 'beaches', 'historical']",0,1,0.7749999999999999,0.7750994201559933,0.5623638401518851,0.6900051881543501,0.9084657038498933,0.7595280539818379
Fort Tiracol Goa,"Taluka, Pernem, Tiracol, Goa 403524, India",4.3,3778.0,ChIJp9s4gCfwvzsRMv-zSTSCEVY,"lodging, point_of_interest, establishment,fort",Bardez (Mapusa),15.7213751,73.686522,,,"['adventure', 'historical']",0,1,0.825,0.8250044483579856,0.7115403798797557,0.7796188209666937,0.9084657038498933,0.8581708892948047
Tropical Spice Plantation,"H.No. A-14, Arla Bazar, Ponda, Keri, Goa 403404, India",4.1,2153.0,ChIJ0bVnNrm6vzsRIZDi6tHyqmM,"point_of_interest, establishment,nature,trek",Ponda,15.4527447,74.0107308,,,"['adventure', 'food', 'nature']",3,4,0.7749999999999999,0.775031016873179,0.8209776347601362,0.7934096640279619,0.9195891177403319,0.8627871390840014
Wildernest Nature Resort,"off Sankhali, Ghats, Chorla, Charavade, Goa 416512, India",4.5,2005.0,ChIJi3KUwlGZvzsRnj5X9TJEyHs,"lodging, point_of_interest, establishment",Sattari (Valpoi),15.6497778,74.1150948,,,['nature'],2,3,0.875,0.8749834548079897,0.7353017464196085,0.8191107714526373,0.939998873130649,0.8713954823420202
Church of the Cross of Miracles,"FWR7+V92, Ella, Old Goa, Goa 403110, India",4.7,513.0,ChIJfU7MxZS-vzsR0AG4t-cAHE8,"tourist_attraction, church, place_of_worship, point_of_interest, establishment,religious,historical",Salcete (Margao),15.492147,73.913386,,,"['historical', 'religious']",0,1,0.925,0.9248381524218436,0.539210652332534,0.7705871523861197,0.9084657038498933,0.8482292167117897
Churches and Convents of Goa,"GW26+WPJ, Old Goa, Goa 403402, India",4.6,218.0,ChIJuYbOebq_vzsR4EdqL-jhF2E,"point_of_interest, establishment,religious",Salcete (Margao),15.5023377,73.9117653,,,"['historical', 'religious']",0,1,0.8999999999999999,0.899734293811998,0.46551441038360336,0.7260463404406401,0.9084657038498933,0.7992006053324886
Mae De Deus Church,"GQWP+R47, Chogm Rd, Muddavaddi, Saligao, Goa 403511, India",4.4,3887.0,ChIJFbog2NfBvzsRlZ2Ry-UD8g0,"tourist_attraction, church, place_of_worship, point_of_interest, establishment,religious,historical",Bardez (Mapusa),15.5470308,73.7853113,,,"['historical', 'religious']",0,1,0.8500000000000001,0.8499978936072088,0.7139966688471371,0.7955974037031801,0.9084657038498933,0.8757594263950744
Three Kings Chapel,"9W62+679, Muder, Cansaulim, Consua, Goa 403712, India",4.3,3020.0,ChIJE-lpKHC3vzsRDHehd03s_ik,"tourist_attraction, church, place_of_worship, point_of_interest, establishment,religious,historical",Salcete (Margao),15.3605246,73.9007519,,,"['historical', 'religious']",3,4,0.825,0.8250055644967983,0.8571603083245242,0.8378674620278886,0.9195891177403319,0.9111324241056109
Our Lady of Merces Church,"Colva Beach Rd, near Infant Jesus High School, Fatona, Colva, Goa 403708, India",4.6,1005.0,ChIJgzYWXhu0vzsRfZwjXKrB9Ms,"tourist_attraction, church, place_of_worship, point_of_interest, establishment,religious,historical",Salcete (Margao),15.2784948,73.9224645,,,"['beaches', 'historical', 'religious']",3,4,0.8999999999999999,0.8999421574004249,0.7395391792194199,0.8357809661280229,0.9195891177403319,0.9088634804441278
Our Lady of Grace Church,"7XF5+9HM, Isidorio Baptista Rd, Pajifond, Madgaon, Goa 403601, India",4.5,1560.0,ChIJLZPlLeizvzsRtDw4-0Z1nns,"tourist_attraction, church, place_of_worship, point_of_interest, establishment,religious,historical",Salcete (Margao),15.273472,73.958916,,,"['historical', 'religious']",3,4,0.875,0.8749787382093707,0.7865343868916678,0.8396009976822896,0.9195891177403319,0.9130175439063548
