name,address,rating,user_ratings_total,place_id,types,taluka,latitude,longitude,Unnamed: 9,Unnamed: 10,categories
C & A adventures water sports,"beach, Bogmalo, Mormugao, Goa 403806, India",3.6,7.0,ChIJRWe7SVrHvzsRoavk_URtYgc,"tourist_attraction, point_of_interest, establishment",Mormugao (Vasco),15.369213,73.8341244,,,"['adventure', 'beaches', 'water sports']"
Bicholim Municipal Garden,"HWQW+2HR, Dicholi, Goa 403504, India",3.5,108.0,ChIJ3-0W9XGWvzsRvjnQXdqZ9QQ,"park, point_of_interest, establishment",Bicholim,15.5876232,73.9463755,,,['nature']
Dr.Sophia Waterfall,"Old Goa, Baingini, Goa 403402, India",3.5,32.0,ChIJHbPbiNy_vzsRVGBXJbg_6lU,"park, point_of_interest, establishment, waterfall, scenic, relaxation, peaceful",Tiswadi (Panaji),15.4888494,73.9013952,,,"['historical', 'nature', 'peaceful', 'relaxation', 'scenic']"
WaterFall Gho Gho,"G4WJ+P2R, Koparde, Goa 403506, India",3.5,31.0,ChIJPfdYY-ihvzsRhjO27of2siA,"tourist_attraction, point_of_interest, establishment",Sattari (Valpoi),15.5468551,74.1300143,,,['nature']
Mathwada river dam,"H2F9+P7H, State Highway 4, Pariye",3.5,10.0,ChIJhRTNIiuXvzsRnsnVT-Q1vqw,"tourist_attraction, point_of_interest, establishment",Bicholim,15.574307,74.018225,,,['nature']
Goali Waterfall,"M53G+24, Goali",3.5,4.0,ChIJAzN2SgCfvzsRA_oJEf6HgfI,"tourist_attraction, point_of_interest, establishment",Sattari (Valpoi),15.6526236,74.1753413,,,['nature']
Nagesh Love Forest,"Gudi, Quepem Rd, Chandor, Goa 403714, India",3.4,404.0,ChIJNShtiX6tvzsRfW6eUqD5Xtc,"tourist_attraction, amusement_park, point_of_interest, establishment",Salcete (Margao),15.2421745,74.0332858,,,['nature']
Coco Heritage Resort Water Park & Swimming Pool,"near Goan Beach club, Baga-Arpora road, Arpora",3.4,358.0,ChIJ6z7MiyHqvzsRK5bfx4qcJTY,"tourist_attraction, amusement_park, point_of_interest, establishment",Tiswadi (Panaji),15.5690863,73.7534674,,,"['beaches', 'historical', 'nature', 'nightlife']"
Chal Waterfall,"3454+8RC Chall Gaondongrim, Canacona, Vaul, Goa 403702, India",3.4,5.0,ChIJaUjBrFZRvjsR3C_EFiB_hUM,"tourist_attraction, point_of_interest, establishment, adventure, waterfall, trekking, scenic",Sanguem,15.0583155,74.1070181,,,"['adventure', 'nature', 'scenic']"
Cunchelim Waterfall,"JR7C+Q7, Mapusa, Goa 403526, India",3.3,19.0,ChIJ1_HG70LrvzsR9_yqsEpZaw4,"tourist_attraction, point_of_interest, establishment, adventure, waterfall, trekking, scenic",Bardez (Mapusa),15.6141969,73.8206561,,,"['adventure', 'nature', 'scenic']"
Scuba diving spot Goa,"9QFX+J7, Vasco Da Gama, Goa, India",3.1,14.0,ChIJ2R3fdADHvzsRe1AILLcfXJg,"tourist_attraction, point_of_interest, establishment",Mormugao (Vasco),15.374035,73.798246,,,['adventure']
