name,address,rating,user_ratings_total,place_id,types,taluka,latitude,longitude,Unnamed: 9,Unnamed: 10,categories
"Viceroys Arch, Goa","Old Goa, Goa 403402, India",4.4,1143.0,ChIJrRLnXou-vzsRTmy-Yn5wi5A,"tourist_attraction, point_of_interest, establishment,historical",Salcete (Margao),15.5057585,73.9137064,,,['historical']
S2 Beach Shack and Cottages,"Gawde Wada, Morjim, Ashvem Loto Beach, Goa 403512, India",4.4,1001.0,ChIJoV4QxcruvzsRCcyTzd4SrPE,"lodging, restaurant, food, point_of_interest, establishment",Pernem,15.6341112,73.7223019,,,"['beaches', 'food']"
Palm Grove Beach Resort,"Ashvem Beach, Mandrem, Goa 403527, India",4.4,890.0,ChIJAQAAAIzuvzsRl0tqGeguwkc,"lodging, point_of_interest, establishment",Pernem,15.647245,73.7169639,,,['beaches']
Honeymoon beach,"2XCX+P4, Agonda, Devalkajjan, Goa 403702, India",4.4,463.0,ChIJAaID1HZPvjsRpG_rt1HF_vo,"tourist_attraction, point_of_interest, establishment,beach",Canacona,15.0218547,73.9977915,,,['beaches']
Museum Of Christian Art,"Monte Santo (Holy Hill, next to St. Augustine Tower, Old Goa, Goa 403402, India",4.4,437.0,ChIJAQAAAIO-vzsRAl-vdrBfS3U,"museum, tourist_attraction, point_of_interest, establishment",Salcete (Margao),15.5011002,73.9069769,,,['historical']
St. Estevam Fort,"St Estevam, Jua, St Estevam Island, Goa 403106, India",4.4,399.0,ChIJq6pa8MG9vzsR7Ku-9sMcN1U,"tourist_attraction, point_of_interest, establishment",Ponda,15.5360191,73.9543531,,,"['fort', 'historical']"
Zalor Beach,"6W3M+JJG, Fatrade, Orlim, Goa 403721, India",4.4,359.0,ChIJNbd806e0vzsRx05ONjEW9Nk,"point_of_interest, establishment",Salcete (Margao),15.2040535,73.9340749,,,['beaches']
Vainguinim Beach,"Vainguinim Beach, Goa 403004, India",4.4,350.0,ChIJUw_oZjTHvzsRdEnG1K85mmg,"natural_feature, establishment",Mormugao (Vasco),15.4555962,73.8134175,,,['beaches']
Anjuna beach,"HPMP+QRQ, Dmello Vaddo, Anjuna, Goa 403509, India",4.4,261.0,ChIJ0RksR4PpvzsR_JmuqKSOBSg,"point_of_interest, establishment",Bardez (Mapusa),15.5844512,73.7371005,,,['beaches']
Rachol Historical Fort Gate,"Fr. Agnelo Rd, Rachol, Goa 403719, India",4.4,253.0,ChIJL8W_HpSxvzsRaq2Kt6ZU8x4,"tourist_attraction, point_of_interest, establishment",Salcete (Margao),15.3085464,74.000897,,,"['fort', 'historical']"
Anjuna sand Beach,"4241a, Calangute - Arpora Rd, Agar Vaddo, Prabhu wada, Calangute, Anjuna, Goa 403509, India",4.4,236.0,ChIJM8kiU6rrvzsRBj870doD4-E,"point_of_interest, establishment,beach,nature,nightlife",Pernem,15.5724968,73.7413421,,,"['beaches', 'nature', 'nightlife']"
Fort Aguda Beach Resort,"Umtta Vaddo, Calangute, Goa 403516, India",4.4,198.0,ChIJv6ZPU-LBvzsReAh985eXiYE,"lodging, point_of_interest, establishment",Bardez (Mapusa),15.5426013,73.762876,,,"['beaches', 'fort', 'historical']"
Anjuna Beach Sandsite,"monteiro wado, Anjuna, Goa 403509, India",4.4,181.0,ChIJD8n3tKjpvzsRcIZe_ycntKI,"lodging, point_of_interest, establishment",Pernem,15.5738534,73.7407517,,,['beaches']
Namazgah,"HWJW+XCQ, Dicholi, Goa 403504, India",4.4,174.0,ChIJX91kyHKWvzsRqMI1tBk80e4,"mosque, tourist_attraction, place_of_worship, point_of_interest, establishment",Bicholim,15.5824605,73.9461171,,,['religious']
Forte de Tiracol,"PMCM+X4, Querim, Goa 403524, India",4.4,170.0,ChIJgWvbrUvxvzsRcF-cwddaVZo,"point_of_interest, establishment",Bardez (Mapusa),15.7213968,73.6865637,,,"['fort', 'historical']"
Aguada View Point,"FQVM+953, Aguada Fort Area, Candolim, Goa 403515, India",4.4,168.0,ChIJSUuhlzHBvzsRzFgI7YQUpCU,"tourist_attraction, point_of_interest, establishment",Tiswadi (Panaji),15.493377,73.782929,,,"['fort', 'historical', 'scenic']"
Migratory Birds Area,"GVH5+F34, Salvador du Mundu, Goa 403101, India",4.4,166.0,ChIJ6UsCPJO_vzsRqu260Ym9L1o,"park, point_of_interest, establishment, wetland, bird watching, scenic, photography, peaceful",Sattari (Valpoi),15.528638,73.857701,,,"['nature', 'peaceful', 'photography', 'scenic']"
